Active Rank,Store name,Creation time,Active Robot,Bind the robot,Run time(h),Running Mileage(km),Number of tasks
1,Firemakers,2021-11-16 17:18:24,2,1,67.11,71.44,4934
2,Baltiya Hotel,2022-02-03 06:23:56,1,1,278.52,0.22,138
3,Sber Univercity,2022-01-14 05:23:26,1,1,121.11,14.57,690
4,Parmesan,2022-01-17 06:47:02,3,3,165.66,115.36,6236
5,Фанджамп Екатеринбург,2022-04-19 06:50:34,1,1,45.89,55.53,1265
6,Fun Jump,2022-02-02 11:07:07,1,1,45.79,49.39,1748
7,Компот,2022-04-20 05:52:08,1,1,34.43,25.62,2620
8,Fun Jump Kazan,2022-08-04 05:46:05,1,1,28.91,17.95,857
9,Neo,2021-11-25 12:08:03,1,1,24.41,15.81,1946
10,Perchini,2021-12-15 21:51:40,1,1,24.32,24.10,1263
11,SMS,2022-10-28 07:58:44,1,1,14.96,24.30,67
12,Динозаврия,2022-09-05 02:07:21,2,2,28.75,20.70,802
13,Jango Park,2021-12-27 09:45:59,1,1,13.42,12.21,356
14,Ресторан ГрильХаус,2022-08-10 02:42:54,1,1,12.57,11.08,731
15,АРТ-Премиум,2022-06-10 05:40:41,1,1,6.60,2.96,309
16,Чайхана PLOV,2022-03-05 05:35:17,1,1,4.91,4.71,190
17,Velich,2021-12-08 16:42:06,1,1,1.44,1.25,85
18,Chajhana hariba,2022-02-06 07:59:47,1,1,0.43,0.49,23
19,Gastreet_panorama,2021-05-31 15:00:41,4,5,53.56,56.65,1545
20,Санаторий Заполярье,2022-07-07 07:05:58,1,3,99.29,35.13,156
21,Soft-servis,2021-02-05 18:00:44,5,12,99.83,92.01,4034
22,Soft-Stend,2022-10-05 06:35:29,2,6,36.94,21.39,2531
23,Flagman office,2021-09-30 17:54:31,1,3,6.96,7.25,408
24,Fun-Day,2022-12-30 10:46:27,0,0,0.00,0.00,0
25,Агрокомплекс,2022-10-16 10:38:02,0,2,0.00,0.00,0
26,Грильвет,2022-10-16 10:27:16,0,0,0.00,0.00,0
27,АРТ-Премиум,2022-06-10 04:46:25,0,0,0.00,0.00,0
28,Shtof,2021-12-08 16:02:44,0,1,0.00,0.00,0
